,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
245,38XPGNCKIXO48X242AWSR6LKYOF4V3,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3H7Z272LXCVQN59NDSRBWFUZX83LP6,A1IIDR9HLUB1MR,Submitted,2020-05-25 17:53:30,2020-05-25 17:55:04,Thu May 28 17:55:04 PDT 2020,,,,94,0% (0/0),0% (0/0),0% (0/0),cnndm8815,unilm_out_v1,"['176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191']","Simon Wood , 38 , from Oldham , won Masterchef Last Friday . has never been on a single cookery course or even had one lesson . Learned about his cooking from reading and watching TV . He sharpens his skills by practicing on his four children - Liam , 20 , Alex , 18 , Cameron , 16 , and Charlotte , Seven . The lucky children are on the receiving .",Simon Wood was 38 years old.,Simon Wood was from Oldham.,Simon Wood won Masterchef.,Simon Wood won Masterchef last Friday.,Simon Wood was a father of four.,Simon Wood got cooking skills.,Simon Wood fed his culinary creations to his kids.,Simon Wood was an award winning chef.,Simon Wood talked about his favourite meals.,One of Simon Wood's favourite meals was a plain omelette.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,p,p,n,{},,
246,3909MD9T335X42D7R131I6UPNJLFEW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3I02618YA5UT6VWHM6JCN2QIAZOUP1,A3HII8DX9SINOU,Submitted,2020-05-25 17:13:29,2020-05-25 17:14:27,Thu May 28 17:14:27 PDT 2020,,,,58,100% (43/43),100% (43/43),100% (43/43),cnndm9393,unilm_out_v1,"['1168', '1169', '1170', '1171', '1172', '1173', '1174', '1175', '1176', '1177', '1178', '1179', '1180', '1181', '1182', '1183']","Kathy Ferreiro , 21 , has been dubbed the ` Cuban Kim Kardashian ' . Miami - based Bikini Babe has proved a hit on social media . Fans love photos of her curves , which she says are 100 per cent natural . Kathy , who works in skincare , says her pictures are ` 100 percent real ' .",Kathy Ferreiro is born in Cuba.,Kathy Ferreiro's curves have attracted fans on social media.,Kathy Ferreiro loves Bikini.,Kathy Ferreiro says photos of her booty are all natural.,Kathy Ferreiro is Miami based.,Kathy Ferreiro is a party girl.,Kathy Ferreiro hopes to become next Kim Kardashian.,Kathy Ferreiro has a huge following in Colombia,Kathy Ferreiro has a huge following in other Latin American countries.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,n,p,p,n,n,n,n,{},,
247,3909MD9T335X42D7R131I6UPNJLFEW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:28 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:28 PDT 2020,,,3LEIZ60CDONP07AKB4MNI45I7CGZ9T,AXID3RPK6NZT6,Submitted,2020-05-25 16:51:21,2020-05-25 16:52:20,Thu May 28 16:52:20 PDT 2020,,,,59,100% (46/46),100% (46/46),100% (46/46),cnndm9393,unilm_out_v1,"['1168', '1169', '1170', '1171', '1172', '1173', '1174', '1175', '1176', '1177', '1178', '1179', '1180', '1181', '1182', '1183']","Kathy Ferreiro , 21 , has been dubbed the ` Cuban Kim Kardashian ' . Miami - based Bikini Babe has proved a hit on social media . Fans love photos of her curves , which she says are 100 per cent natural . Kathy , who works in skincare , says her pictures are ` 100 percent real ' .",Kathy Ferreiro is born in Cuba.,Kathy Ferreiro's curves have attracted fans on social media.,Kathy Ferreiro loves Bikini.,Kathy Ferreiro says photos of her booty are all natural.,Kathy Ferreiro is Miami based.,Kathy Ferreiro is a party girl.,Kathy Ferreiro hopes to become next Kim Kardashian.,Kathy Ferreiro has a huge following in Colombia,Kathy Ferreiro has a huge following in other Latin American countries.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,p,p,n,n,n,n,{},,
249,3A3KKYU7Q75XRCRFYO1KZ2LYRO2MWQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:26 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:26 PDT 2020,,,3SKEMFQBZ8TUX7SO6BDZVTMUJYY8K6,A3HII8DX9SINOU,Submitted,2020-05-25 17:53:03,2020-05-25 17:54:41,Thu May 28 17:54:41 PDT 2020,,,,98,100% (43/43),100% (43/43),100% (43/43),cnndm4725,unilm_out_v1,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']",Rory McIlroy battled with Fifty Shades of Grey star Jamie Dornan . The pair were taking part in the First Circular Soccer Showdown of 2015 . The 25 - year - old finished strongly following a slow start to finish an impressive fourth at the Masters . The World No 1 golfer is an avid Manchester United fan . He revealed last year he dreamed of playing for the Red Devils as a child .,Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
250,3A520CCNXRO28BWZGLH945JYQ38AEE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3K3R2QNK8GR8E8GA5HNF1CQ35V6U96,A12ATVBE1I4567,Submitted,2020-05-25 17:15:31,2020-05-25 17:49:21,Thu May 28 17:49:21 PDT 2020,,,,2030,0% (0/0),0% (0/0),0% (0/0),cnndm5243,unilm_out_v1,"['128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143']","Lorraine Bracco , 60 , revealed that she was first approached to play Carmela Soprano's wife Carmela in the sopranos . The Oscar - nominated actress said she wanted to play Dr . Jennifer Melfi instead . She said she had already played a mobster's woman in Goodfellas nine years earlier . She was cast as Dr . Melfi by the show's creator David Chase . She said that .",Lorraine Bracco was asked to be Carmela.,Lorraine Bracco was asked by sopranos creator.,Lorraine Bracco is an actress.,Lorraine Bracco / the actress turned the sopranos creator/him down.,Lorraine Bracco / the actress played a mobster's wife in Goodfellas / Martin Scorsese's Goodfellas.,Lorraine Bracco turned the offer down because she played a mobster's wife in Goodfellas.,Goodfellas was released in 1990.,David Chase was a showrunner.,David Chase was convinced to let Lorraine Bracco play the role of Dr. Jennifer Melfi.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,p,{},,
251,3A520CCNXRO28BWZGLH945JYQ38AEE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3QL2OFSM9B6XHG34K0LKP7ZH3KFCNC,A27A3Z6J7745DI,Submitted,2020-05-25 17:08:41,2020-05-25 17:12:02,Thu May 28 17:12:02 PDT 2020,,,,201,0% (0/0),0% (0/0),0% (0/0),cnndm5243,unilm_out_v1,"['128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143']","Lorraine Bracco , 60 , revealed that she was first approached to play Carmela Soprano's wife Carmela in the sopranos . The Oscar - nominated actress said she wanted to play Dr . Jennifer Melfi instead . She said she had already played a mobster's woman in Goodfellas nine years earlier . She was cast as Dr . Melfi by the show's creator David Chase . She said that .",Lorraine Bracco was asked to be Carmela.,Lorraine Bracco was asked by sopranos creator.,Lorraine Bracco is an actress.,Lorraine Bracco / the actress turned the sopranos creator/him down.,Lorraine Bracco / the actress played a mobster's wife in Goodfellas / Martin Scorsese's Goodfellas.,Lorraine Bracco turned the offer down because she played a mobster's wife in Goodfellas.,Goodfellas was released in 1990.,David Chase was a showrunner.,David Chase was convinced to let Lorraine Bracco play the role of Dr. Jennifer Melfi.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,p,p,{},,
252,3AJA9FLWTGM9K7FTNKTS3LSHFCSFI5,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:29 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:29 PDT 2020,,,3KWTYT0875RMUVR4TDIXY9PI6825L4,A314XJY8V1YL12,Submitted,2020-05-25 17:51:18,2020-05-25 17:55:55,Thu May 28 17:55:55 PDT 2020,,,,277,0% (0/0),0% (0/0),0% (0/0),cnndm1573,unilm_out_v1,"['656', '657', '658', '659', '660', '661', '662', '663', '664', '665', '666', '667', '668', '669', '670', '671']","Andy Murray arrived back in Britain on Monday restored as World No 3 in the new rankings . The Scot confirmed it will be a down - to - earth guest list when he marries fiancée Kim Sears in his hometown on Saturday . There are believed to be well over 100 people attending , but star spotters will find celebrities in short supply as the couple focus on celebrating with family and genuine .",Tournament performances have restored Andy Murray to World No 3 .,Andy Murray has been restored to World No 3 .,The wedding takes Andy Murray's No 1 spot this week .,Andy Murray is going to marry Kim Sears.,The wedding is this week.,Kin Sears is Andy Murray's fiancée.,The wedding is in Dunblane.,The wedding is this coming Saturday.,There are believed to be well over 100 names on the guest list .,The guest list is down - to - earth .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,p,n,p,p,p,n,p,p,{},,
253,3AJA9FLWTGM9K7FTNKTS3LSHFCSFI5,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:29 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:29 PDT 2020,,,3TK8OJTYM69TJALHRWTHJOS1O69PVX,A3N5RLYH05PY8L,Submitted,2020-05-25 18:11:36,2020-05-25 18:12:48,Thu May 28 18:12:48 PDT 2020,,,,72,0% (0/0),0% (0/0),0% (0/0),cnndm1573,unilm_out_v1,"['656', '657', '658', '659', '660', '661', '662', '663', '664', '665', '666', '667', '668', '669', '670', '671']","Andy Murray arrived back in Britain on Monday restored as World No 3 in the new rankings . The Scot confirmed it will be a down - to - earth guest list when he marries fiancée Kim Sears in his hometown on Saturday . There are believed to be well over 100 people attending , but star spotters will find celebrities in short supply as the couple focus on celebrating with family and genuine .",Tournament performances have restored Andy Murray to World No 3 .,Andy Murray has been restored to World No 3 .,The wedding takes Andy Murray's No 1 spot this week .,Andy Murray is going to marry Kim Sears.,The wedding is this week.,Kin Sears is Andy Murray's fiancée.,The wedding is in Dunblane.,The wedding is this coming Saturday.,There are believed to be well over 100 names on the guest list .,The guest list is down - to - earth .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,p,p,n,p,p,{},,
255,3AJA9FLWTGM9K7FTNKTS3LSHFCSIF8,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:27 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:27 PDT 2020,,,3ZSY5X72N2ZJ53SZ3CBSTRY8TVRROG,AKTQD9Y44G495,Submitted,2020-05-25 17:29:27,2020-05-25 17:55:36,Thu May 28 17:55:36 PDT 2020,,,,1569,100% (33/33),100% (33/33),100% (33/33),cnndm8054,unilm_out_v1,"['64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79']","Just 28 of 700,000 babies born in the UK in 2013 were given the name . That compares to 235 Garys being born in 1996 , when the name was the 147th most popular in Britain . In 2013 , it didn't even make the top 1,000 , according to the Office of National Statistics . There has been suggestion that football pundit Lineker or Take That singer Barlow .",Gary was a British name.,Gary was the 147th most popular British name in 1996.,Gary was the 1001st most popular British name in 2013.,Gary reached height of its popularity in 1964.,Gary was the 16th most popular British name in 1964 (or at the height of its popularity).,Dexter is one of the top 100 most popular British names.,Jenson is now one of the top 100 most popular British names.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,p,n,n,n,n,n,{},,
256,3AXFSPQOZUM5FIZZ52ESFM7HSRHFJH,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3JNQLM5FT9AUVY8HBUGZ02M6MY72LW,ASI6KXF2GAUTQ,Submitted,2020-05-25 17:32:32,2020-05-25 17:34:46,Thu May 28 17:34:46 PDT 2020,,,,134,0% (0/0),0% (0/0),0% (0/0),cnndm5075,unilm_out_v1,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","Britt McHenry's car was towed from the parking lot of a Chinese restaurant in Virginia . When she picked it up , infuriated , she resorted to insulting the single mother - of - Three's looks , intelligence , and social status . But the network has reinstated the 28 - year - old to her role with a spot on SportsCenter this weekend . Online petitions for her to be fired reached 10,000 within A.",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,n,n,n,p,p,n,n,p,n,n,n,n,n,n,n,n,{},,
257,3AXFSPQOZUM5FIZZ52ESFM7HSRHFJH,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:30 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:30 PDT 2020,,,3WJ1OXY92F4OLUJ2UK0A1FJYEM48AR,ANCCKNF1DKRZO,Submitted,2020-05-25 17:52:43,2020-05-25 19:17:43,Thu May 28 19:17:43 PDT 2020,,,,5100,100% (37/37),100% (37/37),100% (37/37),cnndm5075,unilm_out_v1,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","Britt McHenry's car was towed from the parking lot of a Chinese restaurant in Virginia . When she picked it up , infuriated , she resorted to insulting the single mother - of - Three's looks , intelligence , and social status . But the network has reinstated the 28 - year - old to her role with a spot on SportsCenter this weekend . Online petitions for her to be fired reached 10,000 within A.",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,n,n,n,p,p,n,n,p,n,n,n,n,n,n,n,n,{},,
258,3BS6ERDLA7VWT36WUDPDIIZRU8HD6Y,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:31 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:31 PDT 2020,,,3HQUKB7LNK2WOSS93U48VEZ1U0OHHU,AHKYVHP6591H8,Submitted,2020-05-25 18:11:09,2020-05-25 18:13:40,Thu May 28 18:13:40 PDT 2020,,,,151,100% (31/31),100% (31/31),100% (31/31),cnndm3789,unilm_out_v1,"['848', '849', '850', '851', '852', '853', '854', '855', '856', '857', '858', '859', '860', '861', '862', '863']",Justin Rose was unable to take victory at the Masters despite a 14 - under - par total . Rory McIlroy had a relentless winning streak in the summer of 2014 . Rose is looking to become the first European player to win the US Open and Masters . The Northern Irishman has won three of his previous five tournaments on the PGA Tour . Rose is hoping to follow the lead of Spieth .,Justin Rose played at the Masters 2015.,Justin Rose's total has only been bettered six times at the The Masters.,Justin Rose hopes to take some titles across the year.,Justin Rose played at the Masters 2015 on 14-under-par.,Justin Rose finished as joint runner-up.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
259,3BS6ERDLA7VWT36WUDPDIIZRU8HD6Y,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Mon May 25 14:16:31 PDT 2020,2,BatchId:4052674;OriginalHitTemplateId:928390828;,5400,259200,Tue May 26 14:16:31 PDT 2020,,,3KKG4CDWKNM9XAMVQBWXO8S96IP945,ACBK30I7R42NI,Submitted,2020-05-25 17:43:13,2020-05-25 17:47:29,Thu May 28 17:47:29 PDT 2020,,,,256,0% (0/0),0% (0/0),0% (0/0),cnndm3789,unilm_out_v1,"['848', '849', '850', '851', '852', '853', '854', '855', '856', '857', '858', '859', '860', '861', '862', '863']",Justin Rose was unable to take victory at the Masters despite a 14 - under - par total . Rory McIlroy had a relentless winning streak in the summer of 2014 . Rose is looking to become the first European player to win the US Open and Masters . The Northern Irishman has won three of his previous five tournaments on the PGA Tour . Rose is hoping to follow the lead of Spieth .,Justin Rose played at the Masters 2015.,Justin Rose's total has only been bettered six times at the The Masters.,Justin Rose hopes to take some titles across the year.,Justin Rose played at the Masters 2015 on 14-under-par.,Justin Rose finished as joint runner-up.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,p,p,n,n,n,n,Good luck with your study!,,
